date,cpi_rate,xau_usd_rate_log_return,pe_ratio_log_return,fpt_stock_price,gdp_value,fpt_stock_price_log_return,cpi_rate_log_return,usd_vnd_rate_log_return,fpt_stock_volume_log_return
2020-01-01,0.0643,0.9998184175987906,-0.0200945659958286,21.39,346615738537.8,-0.055765133863068986,0.018769623192630033,0.06786846621911952,-0.0035205897687333254
2020-01-02,0.0643,0.9998184175987906,-0.0200945659958286,21.39,346615738537.8,-0.055765133863068986,0.018769623192630033,0.06786846621911952,-0.0035205897687333254
2020-01-03,0.0643,1.6265492148814416,-0.0200945659958286,21.03,346615738537.8,-1.0405035935830145,0.018769623192630033,-0.08135470210779967,1.7092069349291035
2020-01-06,0.0643,2.1338830860244595,-0.0200945659958286,20.81,346615738537.8,-0.6658828617880977,0.018769623192630033,0.040724316339913955,-1.3082732118003704
2020-01-07,0.0643,-0.4709721113369282,-0.0200945659958286,21.21,346615738537.8,1.048811110231463,0.018769623192630033,-0.027099181163482002,-0.5538387539399705
2020-01-08,0.0643,2.422935241891642,-0.0200945659958286,20.73,346615738537.8,-1.3838028567958596,0.018769623192630033,2.3020343508098217e-05,1.6003685801921572
2020-01-09,0.0643,-3.779822630239126,-0.0200945659958286,21.03,346615738537.8,0.7778140729002182,0.018769623192630033,-0.08134826506083125,-1.3084674337974433
2020-01-10,0.0643,0.06770523877013752,-0.0200945659958286,20.99,346615738537.8,-0.16621945512280964,0.018769623192630033,0.6235086193741676,0.10429174349253616
2020-01-13,0.0643,-0.1406151578028684,-0.0200945659958286,20.84,346615738537.8,-0.4718518902270648,0.018769623192630033,-0.8133355425235869,-0.5392509354358821
2020-01-14,0.0643,-1.1003939007781744,-0.0200945659958286,20.81,346615738537.8,-0.13934178416436116,0.018769623192630033,-0.04066130576227983,-0.1825909811889834
2020-01-15,0.0643,0.6452358167626131,-0.0200945659958286,20.81,346615738537.8,-0.055765133863068986,0.018769623192630033,-0.05422489330786966,0.5465469691906988
2020-01-16,0.0643,-0.08004553435243077,-0.0200945659958286,21.17,346615738537.8,0.9392950518166617,0.018769623192630033,-0.05422489330786966,1.5004635286941388
2020-01-17,0.0643,0.16658378796540968,-0.0200945659958286,21.03,346615738537.8,-0.44070759161777107,0.018769623192630033,-0.108480999210437,-0.6999018775203598
2020-01-20,0.0643,0.04120407839156296,-0.0200945659958286,20.95,346615738537.8,-0.2768844666795347,0.018769623192630033,-0.13561783190977073,-0.2602660690175291
2020-01-21,0.0643,0.3682518749681481,-0.0200945659958286,20.26,346615738537.8,-1.9987333758943546,0.018769623192630033,-0.01352710691242016,2.6220148826980463
2020-01-22,0.0643,-0.7769998846067719,-0.0200945659958286,20.63,346615738537.8,0.9942005467605999,0.018769623192630033,0.7727259131635879,-0.6635352112276511
2020-01-23,0.0643,0.57699841770315,-0.0200945659958286,20.63,346615738537.8,-0.055765133863068986,0.018769623192630033,-1.0168452337488827,-0.0035205897687333254
2020-01-24,0.0643,0.5156242904604674,-0.0200945659958286,20.63,346615738537.8,-0.055765133863068986,0.018769623192630033,-0.05422489330786966,-0.0035205897687333254
2020-01-27,0.0643,0.7471621157801365,-0.0200945659958286,20.63,346615738537.8,-0.055765133863068986,0.018769623192630033,-0.05422489330786966,-0.0035205897687333254
2020-01-28,0.0643,-0.33830963135084435,-0.0200945659958286,20.63,346615738537.8,-0.055765133863068986,0.018769623192630033,-0.05422489330786966,-0.0035205897687333254
2020-01-29,0.0643,-0.46335040433643393,-0.0200945659958286,20.63,346615738537.8,-0.055765133863068986,0.018769623192630033,-0.05422489330786966,-0.0035205897687333254
2020-01-30,0.0643,0.5260745856006054,-0.0200945659958286,19.97,346615738537.8,-1.9421695268160808,0.018769623192630033,0.42049045232867976,-0.38132302421741177
2020-01-31,0.0643,0.24204638965948508,-0.0200945659958286,18.98,346615738537.8,-3.0056150386524116,0.018769623192630033,1.0700978801733114,0.9198332617057542
2020-02-03,0.0643,0.050279024304983266,-0.0200945659958286,18.8,346615738537.8,-0.6085962438326951,0.018769623192630033,1.2977158478622777,-0.28069876553062256
2020-02-04,0.0643,-0.992785759484409,-0.0200945659958286,18.91,346615738537.8,0.28270162400502963,0.018769623192630033,-0.3378914114364905,-1.6214550705959903
2020-02-05,0.0643,-1.3713751025408607,-0.0200945659958286,18.98,346615738537.8,0.1585992182384585,0.018769623192630033,-0.06773601556825981,-0.007065146849019318
2020-02-06,0.0643,0.37895905312485656,-0.0200945659958286,19.57,346615738537.8,1.7202234868019974,0.018769623192630033,-1.0954541867879546,0.07053394864454317
2020-02-07,0.0643,0.36069687388703126,-0.0200945659958286,19.46,346615738537.8,-0.382784837473968,0.018769623192630033,0.3246034826689395,-0.7043043116246905
2020-02-10,0.0643,0.16041028704818425,-0.0200945659958286,19.2,346615738537.8,-0.836128157668953,0.018769623192630033,0.4865628564806622,-1.0435001231307006
2020-02-11,0.0643,-0.31359637134247786,-0.0200945659958286,19.57,346615738537.8,1.051617593553714,0.018769623192630033,-0.05422489330786966,0.796246954318087
2020-02-12,0.0643,-0.33518561921269424,-0.0200945659958286,19.75,346615738537.8,0.4754135842874477,0.018769623192630033,-0.2569657943513209,0.033391124049260715
2020-02-13,0.0643,0.5004252487065599,-0.0200945659958286,19.82,346615738537.8,0.1494980587862134,0.018769623192630033,-0.39227174205295023,-0.14790203410510028
2020-02-14,0.0643,0.44539984329025334,-0.0200945659958286,19.9,346615738537.8,0.17793554354701657,0.018769623192630033,0.2567848951292202,-0.3211274400606511
