date,fpt_stock_price_log_return_scaled,market_cap_log_return,fpt_stock_price_log_return,gdp_value,cpi_rate,fpt_stock_price,fpt_stock_volume_log_return,fpt_net_revenue_log_return,usd_vnd_rate_log_return,xau_usd_rate_log_return
2020-01-01,-0.05576513386306898,0.0,0.0,346615738537.8,0.0643,21.39,0.0,0.0,0.00019418942160205903,0.009065983546023958
2020-01-02,-0.05576513386306898,0.0,0.0,346615738537.8,0.0643,21.39,0.0,0.0,0.00019418942160205903,0.009065983546023958
2020-01-03,-1.040503593583013,0.0,-0.016973533379705846,346615738537.8,0.0643,21.03,0.8258167289798776,0.0,-4.314994606923293e-05,0.014361216106145526
2020-01-06,-0.6658828617881124,0.0,-0.010516349309065457,346615738537.8,0.0643,20.81,-0.6291056381803509,0.0,0.00015101666605475908,0.018647667075168944
2020-01-07,1.0488111102314528,0.0,0.019039128171048077,346615738537.8,0.0643,21.21,-0.2653439847732211,0.0,4.314343034085742e-05,-0.0033606882111432345
2020-01-08,-1.3838028567958562,0.0,-0.022890842128902862,346615738537.8,0.0643,20.73,0.7733387178541582,0.0,8.628127701637776e-05,0.02108986138564105
2020-01-09,0.7778140729002372,0.0,0.014368063266920193,346615738537.8,0.0643,21.03,-0.6291992851685649,0.0,-4.313970795081423e-05,-0.03131708205716756
2020-01-10,-0.16621945512283295,0.0,-0.0019038558820669432,346615738537.8,0.0643,20.99,0.05198329980317124,0.0,0.0010779347815335885,0.0011905830141658196
2020-01-13,-0.47185189022706303,0.0,-0.007171916947375373,346615738537.8,0.0643,20.84,-0.2583102538462182,0.0,-0.0012073650727166053,-0.0005695107161152212
2020-01-14,-0.1393417841643583,0.0,-0.0014405764796232075,346615738537.8,0.0643,20.81,-0.08634141903330861,0.0,2.1572878577824116e-05,-0.008678656895544859
2020-01-15,-0.05576513386306898,0.0,0.0,346615738537.8,0.0643,20.81,0.26522315178998696,0.0,0.0,0.0060701241733215365
2020-01-16,0.9392950518166755,0.0,0.01715144474123089,346615738537.8,0.0643,21.17,0.7251680300786978,0.0,0.0,-5.7759508675087844e-05
2020-01-17,-0.4407075916177657,0.0,-0.006635095432165359,346615738537.8,0.0643,21.03,-0.3357704648760759,0.0,-8.629430678663128e-05,0.002026005360515718
2020-01-20,-0.2768844666795368,0.0,-0.003811343346461753,346615738537.8,0.0643,20.95,-0.12379360335848993,0.0,-0.0001294554243630875,0.0009666753844046596
2020-01-21,-1.9987333758943586,0.0,-0.033490147547609345,346615738537.8,0.0643,20.26,1.2659404864037982,0.0,6.472980701987754e-05,0.0037298938964942644
2020-01-22,0.9942005467605989,0.0,0.01809782826262295,346615738537.8,0.0643,20.63,-0.31823574264578647,0.0,0.0013152648057562426,-0.005946309081133361
2020-01-23,-0.05576513386306898,0.0,0.0,346615738537.8,0.0643,20.63,0.0,0.0,-0.0015310471253903305,0.005493588124855039
2020-01-24,-0.05576513386306898,0.0,0.0,346615738537.8,0.0643,20.63,0.0,0.0,0.0,0.004975039685344055
2020-01-27,-0.05576513386306898,0.0,0.0,346615738537.8,0.0643,20.63,0.0,0.0,0.0,0.00693129688037577
2020-01-28,-0.05576513386306898,0.0,0.0,346615738537.8,0.0643,20.63,0.0,0.0,0.0,-0.002239826293116114
2020-01-29,-0.05576513386306898,0.0,0.0,346615738537.8,0.0643,20.63,0.0,0.0,0.0,-0.003296292602617787
2020-01-30,-1.9421695268160937,0.0,-0.03251517965543661,346615738537.8,0.0643,19.97,-0.18216299213856849,0.0,0.0007550344977989832,0.005063333963092903
2020-01-31,-3.0056150386524005,0.0,-0.050845354245942,346615738537.8,0.0643,18.98,0.4452086197716459,0.0,0.001788234756767806,0.0026635869622090784
2020-02-03,-0.6085962438327134,0.0,-0.00952892334587828,346615738537.8,0.0643,18.8,-0.1336455280548339,0.0,0.0021502610099810907,0.0010433493715306223
2020-02-04,0.2827016240050385,0.0,0.005834012834462655,346615738537.8,0.0643,18.91,-0.7801108707564234,0.0,-0.00045117144205605636,-0.007769478447663982
